"LPAD(SKU,13,'0')"	"SKU"	"descr"	"Price"	"Type"
"0000000022536"	"022536"	"BUBBLE SLEEVES 300X470MM 2S"		
"0000000022537"	"022537"	"CLIPBOARD LAWANIT BRO LTR"		
"0000000022538"	"022538"	"CLIPBOARD LAWANIT BRO LGL"		
"0000000022539"	"022539"	"PAPER PARCHMENT 90GSM WHT 10S"		
"0000000022540"	"022540"	"LABEL COMPUTER 88.9X36MM"		
"0000000022541"	"022541"	"CHAIR EXEC A701 HIBACK"		
"0000000022542"	"022542"	"CHAIR EXEC B701 MIDBACK"		
"0000000022543"	"022543"	"CHAIR VISITOR D701 MIDBACK"		
"0000000022544"	"022544"	"CHAIR EXEC 708A HIBACK"		
"0000000022545"	"022545"	"CHAIR EXEC B708 MIDBACK"		
"0000000022546"	"022546"	"CHAIR VISITOR D708 MIDBACK"		
"0000000022547"	"022547"	"CHAIR EXEC SK6005H HIBACK"		
"0000000022548"	"022548"	"CHAIR EXEC SK6005H HIBACK"		
"0000000022549"	"022549"	"CHAIR EXEC SK6005H HIBACK"		
"0000000022550"	"022550"	"CHAIR TASK SK1031 FABRIC"		
"0000000022551"	"022551"	"CHAIR TASK SK1031 RED FABRIC"		
"0000000022552"	"022552"	"CHAIR TASK SK1031 FABRIC"		
"0000000022553"	"022553"	"CHAIR SEC  AF8058 MESH"		
"0000000022554"	"022554"	"CHAIR SEC AF8058 MESH"		
"0000000022555"	"022555"	"CHAIR SEC AF8058 MESH"		
"0000000022556"	"022556"	"CHAIR AF8058 MESH"		
"0000000022580"	"022580"	"BAG QDRAWSTRING DS003 RED"		
"0000000022581"	"022581"	"BAG QDRAWSTRING DS003 BLU"		
"0000000022582"	"022582"	"BAG QDRAWSTRING DS003 GRN"		
"0000000022583"	"022583"	"BAG QDRAWSTRING DS003 ORG"		
"0000000022588"	"022588"	"GLUE GLASS LOCTITE 2G"		
"0000000022594"	"022594"	"CHIPBOARD #50 MULTIPURPOSE"		
"0000000022595"	"022595"	"BROTHER LABELLER P950NW"		
"0000000022596"	"022596"	"TABLE WRITING 1050"		
"0000000022597"	"022597"	"TABLE WRITING 1050"		
"0000000022598"	"022598"	"TABLE WRITING DESK 1200"		
"0000000022599"	"022599"	"TABLE WRITING 1200"		
"0000000022600"	"022600"	"TABLE WRITING 1800"		
"0000000022601"	"022601"	"TABLE WRITING 1800"		
"0000000022602"	"022602"	"TABLE TRAINING  LCOFT31240"		
"0000000022603"	"022603"	"TABLE TRAINING  LCOFT31240"		
"0000000022604"	"022604"	"TABLE TRAINING  LCOFT31840"		
"0000000022605"	"022605"	"TABLE TRAINING LCOFT31840"		
"0000000022606"	"022606"	"CHAIR TASK SK1031 FABRIC"		
"0000000022607"	"022607"	"FUSEBOX SPEAKER BT ANIMAL"		
"0000000022609"	"022609"	"CHAIR  EXEC HIBACK"		
"0000000022610"	"022610"	"CHAIR TASK BLK/BLU"		
"0000000022611"	"022611"	"CHAIR TASK FABRIC"		
"0000000022612"	"022612"	"HP TONER 17A CF217A BLK"		
"0000000022613"	"022613"	"ISD ARCHFILE 3IN XLTC BLK"		
"0000000022614"	"022614"	"ISD ARCHFILE 3IN XLTC BLU"		
"0000000022615"	"022615"	"ISD ARCHFILE 3IN XLTC GRN"		
"0000000022617"	"022617"	"WB MARKER REFILL BLU"		
"0000000022618"	"022618"	"WB MARKER REFILL RED"		
"0000000022619"	"022619"	"WB MARKER 35B BLU"		
"0000000022620"	"022620"	"WB MARKER 35B RED"		
"0000000022621"	"022621"	"STAND POSTER FRAME STEELPLATE"		
"0000000022622"	"022622"	"STAND POSTER FRAME TRIPOD B2B"		
"0000000022624"	"022624"	"NAME TAG ACRYLIC CLR 14X14IN"		
"0000000022625"	"022625"	"DELL MONITOR E1916HV 18.5IN"		
"0000000022626"	"022626"	"FUJIXEROX TONER CT201610 P205B"		
"0000000022627"	"022627"	"EPSON RIBBON 7753/15506/15141"		
"0000000022628"	"022628"	"ISD STAMP PAID SELFINKIN S401"		
"0000000022629"	"022629"	"CANON PRINTER LBP2900"		
"0000000022630"	"022630"	"FULLMARK RIBBON ERC 39 PURP"		
"0000000022631"	"022631"	"CANON DRUM NPG32"		
"0000000022632"	"022632"	"ARCHFILE 3IN BLU A4 VERT"		
"0000000022633"	"022633"	"ARCHFILE 2IN BLU A4 VERT"		
"0000000022638"	"022638"	"FUJIXEROX PRINTER CM225FW"		
"0000000022639"	"022639"	"CHAIR EXEC 8209M MESH"		
"0000000022640"	"022640"	"CHAIR EXEC 8209M MESH"		
"0000000022641"	"022641"	"CHAIR EXEC 8209M MESH"		
"0000000022642"	"022642"	"CHAIR EXEC 8234H PU/PVC"		
